Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity
31-50,Male,Elementary school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,Slight Injury
18-30,Male,Junior high school,Employee,5-10yr,One way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Elementary school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
18-30,Male,Elementary school,Employee,Below 1yr,One way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
18-30,Male,Junior high school,Employee,2-5yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
18-30,Male,Elementary school,Owner,1-2yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Moving Backward,Slight Injury
18-30,Male,Junior high school,Owner,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Changing lane to the right,Slight Injury
18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Entering a junction,Not a Pedestrian,Overtaking,Slight Injury
18-30,Male,High school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Other,Slight Injury
31-50,Male,Junior high school,Employee,Above 10yr,Double carriageway (median),No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Other,Slight Injury
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,Slight Injury
18-30,Female,Junior high school,Employee,1-2yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No priority to pedestrian,Slight Injury
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,No priority to vehicle,Slight Injury
18-30,Male,Junior high school,Employee,5-10yr,One way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Changing lane to the left,Slight Injury
18-30,Male,Junior high school,Employee,1-2yr,One way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Changing lane to the left,Slight Injury
18-30,Male,Elementary school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Overtaking,Slight Injury
Under 18,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Entering a junction,Not a Pedestrian,No distancing,Slight Injury
18-30,Male,Junior high school,Employee,Above 10yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No priority to vehicle,Slight Injury
18-30,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,Serious Injury
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,Serious Injury
18-30,Male,Elementary school,Owner,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,Slight Injury
18-30,Male,Elementary school,Employee,Above 10yr,One way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
Over 51,Male,High school,Owner,5-10yr,Two-way (divided with broken lines road marking),No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,Slight Injury
18-30,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,Slight Injury
18-30,Male,High school,Owner,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Overtaking,Not a Pedestrian,Changing lane to the left,Slight Injury
31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Earth roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
Over 51,Male,Junior high school,Employee,1-2yr,Undivided Two way,O Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,Slight Injury
Over 51,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Rollover,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
31-50,Male,Junior high school,Employee,1-2yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
31-50,Male,High school,Employee,2-5yr,Undivided Two way,No junction,Earth roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving carelessly,Slight Injury
18-30,Male,Elementary school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Moving Backward,Slight Injury
31-50,Male,Junior high school,Employee,5-10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Turnover,Not a Pedestrian,Driving carelessly,Serious Injury
31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
31-50,Male,Elementary school,Other,5-10yr,Two-way (divided with broken lines road marking),Crossing,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
18-30,Male,Elementary school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,Slight Injury
Over 51,Male,Elementary school,Owner,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Elementary school,Employee,5-10yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
31-50,Male,Junior high school,Owner,1-2yr,One way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Getting off,Unknown or other,Changing lane to the left,Slight Injury
18-30,Male,Elementary school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,No distancing,Slight Injury
18-30,Male,Junior high school,Employee,5-10yr,One way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Getting off,Not a Pedestrian,Changing lane to the left,Slight Injury
31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving carelessly,Slight Injury
18-30,Male,Elementary school,Employee,Above 10yr,One way,Unknown,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury
Over 51,Male,Junior high school,Employee,2-5yr,Undivided Two way,Unknown,Earth roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Unknown or other,No distancing,Slight Injury
18-30,Male,Elementary school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Waiting to go,Not a Pedestrian,Changing lane to the right,Slight Injury
31-50,Male,Junior high school,Employee,2-5yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving to the left,Slight Injury
Unknown,Female,Junior high school,Employee,Above 10yr,other,No junction,Other,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,Overtaking,Slight Injury
31-50,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Gravel roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
31-50,Male,Junior high school,Owner,Above 10yr,Undivided Two way,O Shape,Gravel roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
18-30,Male,High school,Other,Above 10yr,Two-way (divided with broken lines road marking),O Shape,Asphalt roads,Daylight,Normal,Collision with animals,Overtaking,Not a Pedestrian,Moving Backward,Slight Injury
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Turnover,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
31-50,Male,Junior high school,Owner,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
31-50,Male,Junior high school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
31-50,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Earth roads,Daylight,Normal,Collision with animals,Getting off,Not a Pedestrian,Changing lane to the left,Slight Injury
31-50,Male,Junior high school,Owner,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with animals,Moving Backward,Crossing from driver's nearside,Changing lane to the right,Slight Injury
Over 51,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with animals,Getting off,Not a Pedestrian,Changing lane to the right,Serious Injury
Over 51,Male,Junior high school,Owner,2-5yr,One way,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Overtaking,Not a Pedestrian,Changing lane to the left,Slight Injury
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Other,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
Under 18,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Rollover,Going straight,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
31-50,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Going straight,Not a Pedestrian,Overtaking,Serious Injury
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Rollover,Reversing,Not a Pedestrian,Changing lane to the left,Serious Injury
Over 51,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Collision with animals,Getting off,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
Over 51,Male,Junior high school,Employee,5-10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
Over 51,Male,Junior high school,Employee,5-10yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,Slight Injury
Over 51,Male,Elementary school,Owner,2-5yr,Two-way (divided with broken lines road marking),Crossing,Earth roads,Darkness - lights lit,Normal,Fall from vehicles,Going straight,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Elementary school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,Reversing,Not a Pedestrian,No priority to vehicle,Slight Injury
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Rollover,Stopping,Not a Pedestrian,Changing lane to the left,Serious Injury
31-50,Male,High school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with animals,Overtaking,Not a Pedestrian,No distancing,Fatal injury
31-50,Male,Junior high school,Owner,5-10yr,other,No junction,Earth roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Moving Backward,Fatal injury
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Fall from vehicles,Reversing,Not a Pedestrian,No priority to vehicle,Slight Injury
18-30,Male,Junior high school,Employee,Above 10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
Over 51,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,No distancing,Slight Injury
Over 51,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with animals,Reversing,Not a Pedestrian,No distancing,Slight Injury
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Overtaking,Slight Injury
18-30,Male,Elementary school,Employee,5-10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Waiting to go,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
31-50,Male,Junior high school,Owner,1-2yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
18-30,Male,High school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Unknown or other,Moving Backward,Slight Injury
31-50,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Slight Injury
18-30,Male,Junior high school,Employee,5-10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
18-30,Male,Junior high school,Employee,2-5yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
18-30,Male,Junior high school,Employee,No Licence,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,Driving at high speed,Slight Injury
Over 51,Male,Junior high school,Employee,Above 10yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Changing lane to the right,Slight Injury
Under 18,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Earth roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,Serious Injury
Under 18,Male,High school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - no lighting,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No distancing,Serious Injury
Under 18,Male,High school,Owner,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,Serious Injury
Under 18,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - no lighting,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,Serious Injury
Over 51,Male,Junior high school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights unlit,Normal,Rollover,Going straight,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
31-50,Male,Elementary school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,Slight Injury
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
31-50,Male,Unknown,Employee,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
18-30,Male,Junior high school,Employee,Below 1yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overturning,Slight Injury
Unknown,Female,Elementary school,Employee,Below 1yr,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
18-30,Male,Junior high school,Employee,5-10yr,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
18-30,Male,Junior high school,Owner,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,High school,Owner,5-10yr,One way,No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Reversing,Not a Pedestrian,No distancing,Slight Injury
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Earth roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Moving Backward,Slight Injury
18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,"Walking along in carriageway, back to traffic",Getting off the vehicle improperly,Slight Injury
18-30,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the left,Serious Injury
Under 18,Male,Elementary school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
Over 51,Male,Junior high school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No priority to vehicle,Slight Injury
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Changing lane to the right,Slight Injury
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
31-50,Male,Junior high school,Owner,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
Under 18,Male,Junior high school,Employee,2-5yr,One way,Y Shape,Gravel roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Crossing from driver's nearside,Driving under the influence of drugs,Slight Injury
18-30,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
31-50,Male,Junior high school,Employee,1-2yr,other,No junction,Asphalt roads,Darkness - no lighting,Normal,Collision with roadside objects,Getting off,Not a Pedestrian,No distancing,Serious Injury
18-30,Male,Junior high school,Employee,Below 1yr,other,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,No priority to vehicle,Slight Injury
31-50,Male,Junior high school,Employee,Below 1yr,One way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Rollover,Turnover,Unknown or other,No priority to vehicle,Serious Injury
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,Serious Injury
Under 18,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,Serious Injury
18-30,Male,Junior high school,Owner,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
18-30,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,Slight Injury
18-30,Male,Writing & reading,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Changing lane to the right,Slight Injury
18-30,Male,Elementary school,Owner,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Driving to the left,Slight Injury
Under 18,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,Moving Backward,Slight Injury
18-30,Male,Junior high school,Owner,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,No priority to vehicle,Slight Injury
31-50,Male,Writing & reading,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Writing & reading,Employee,5-10yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Other,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,Overtaking,Not a Pedestrian,Changing lane to the left,Slight Injury
18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Raining and Windy,Collision with pedestrians,Reversing,Not a Pedestrian,No priority to vehicle,Slight Injury
Unknown,Female,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Getting off,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Driving to the left,Slight Injury
Under 18,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Reversing,Unknown or other,Driving carelessly,Slight Injury
Under 18,Male,Junior high school,Employee,Below 1yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Driving carelessly,Slight Injury
Under 18,Male,Junior high school,Employee,Below 1yr,One way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Changing lane to the right,Slight Injury
31-50,Male,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Other,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
Over 51,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
31-50,Male,Elementary school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
